original_path,new_path,result,reason,hash_before,hash_after
C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When It's Over (Music Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eric Church - Over When It's Over.mp3,applied,success,677494f70146dd186575cb42b603b342749a53c4ebc1f96a93967f8352fa54ca,677494f70146dd186575cb42b603b342749a53c4ebc1f96a93967f8352fa54ca
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney - Til It's Gone (Official Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kenny Chesney - Til It's Gone.mp3,applied,success,31f3e8b88e80edc2c9805585c0b6089bfbf0c4a8b895da10e88f2bd12d7f3b9a,31f3e8b88e80edc2c9805585c0b6089bfbf0c4a8b895da10e88f2bd12d7f3b9a
C:\Users\suppo\Downloads\New Music\Top1000_Country\Zac Brown Band - Colder Weather ｜ You Get What You Give.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Zac Brown Band - Colder Weather ｜ You Get What You Give.mp3,applied,success,c61eb756287e68a7a526af6e525db1c7bd3637cf3af3b5bd7a50a1f6a9a37fbc,c61eb756287e68a7a526af6e525db1c7bd3637cf3af3b5bd7a50a1f6a9a37fbc
C:\Users\suppo\Downloads\New Music\Top1000_Country\Zac Brown Band - Knee Deep Feat. Jimmy Buffett ｜ You Get What You Give.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Zac Brown Band - Knee Deep Feat. Jimmy Buffett ｜ You Get What You Give.mp3,applied,success,3b80c98b96c14a559736b8d17513c1edaa7d79ffb69c085f0879dc43455f4e3d,3b80c98b96c14a559736b8d17513c1edaa7d79ffb69c085f0879dc43455f4e3d
C:\Users\suppo\Downloads\New Music\Top1000_Country\Zac Brown Band - Sweet Annie ｜ Uncaged.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Zac Brown Band - Sweet Annie ｜ Uncaged.mp3,applied,success,e032604ac59204dd7f83cd5697e84774fe3e75e57b89a3107e840ac8aded4400,e032604ac59204dd7f83cd5697e84774fe3e75e57b89a3107e840ac8aded4400
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Pantera - 5 Minutes Alone.mp3,applied,success,fc7c66079f7d9c7b4285bdc2a7579edd637826ed9f5695616a6ffa019216c558,fc7c66079f7d9c7b4285bdc2a7579edd637826ed9f5695616a6ffa019216c558
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Savatage - Hall Of The Mountain King.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Savatage - Hall of the Mountain King.mp3,applied,success,7649e1e37b4b27e0c7ab1e046a4de2048be452d768e55f1bbe3ff230f46bb2f1,7649e1e37b4b27e0c7ab1e046a4de2048be452d768e55f1bbe3ff230f46bb2f1
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Slayer - Hell Awaits.mp3,applied,success,fcab4569692be0010de92b09e3615dbe4ab3c13101b8394898489b531a2098a3,fcab4569692be0010de92b09e3615dbe4ab3c13101b8394898489b531a2098a3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ufo - Doctor Doctor.mp3,applied,success,e3681dcbbb5b474f92a9e7c830bc7be311837e59f6761b12f6b94a074586f249,e3681dcbbb5b474f92a9e7c830bc7be311837e59f6761b12f6b94a074586f249
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\017 - Ice Cube - it Was a Good Day.mp3,applied,success,3e39ece0d78a0adf1a3284c9d68f0ffcf8ad500554d4f91536c744a23472096f,3e39ece0d78a0adf1a3284c9d68f0ffcf8ad500554d4f91536c744a23472096f
