group_id,source_type,member_count,selected_primary_path,selected_primary_name,primary_quality_score,primary_size_mb,reason,confidence
G0034,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Fugees - Fu-Gee-La.mp3,Fugees - Fu-Gee-La.mp3,60,8.4,quality=60; size=8.4MB; not temp file; margin=500,high
G0035,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper.mp3,George Michael - Careless Whisper.mp3,65,10.1,quality=65; size=10.1MB; not temp file; margin=1000,high
G0036,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\House of Pain - Jump Around.mp3,House of Pain - Jump Around.mp3,65,8.0,quality=65; size=8.0MB; not temp file; margin=1000,high
G0037,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Imagine Dragons - Believer.mp3,Imagine Dragons - Believer.mp3,65,7.0,quality=65; size=7.0MB; not temp file; margin=0,low
G0038,collision,3,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Jedi Mind Tricks - ＂Heavy Metal Kings＂.mp3,Jedi Mind Tricks - ＂Heavy Metal Kings＂.mp3,59,8.9,quality=59; size=8.9MB; not temp file; margin=2,low
G0039,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Country\Kacey Musgraves - Biscuits.mp3,Kacey Musgraves - Biscuits.mp3,65,6.5,quality=65; size=6.5MB; not temp file; margin=500,high
G0040,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\KAMELOT - Eventide (Static Video) ｜ Napalm Records.mp3,KAMELOT - Eventide (Static Video) ｜ Napalm Records.mp3,62,8.6,quality=62; size=8.6MB; not temp file; margin=1000,high
G0041,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney - Way Down Here.mp3,Kenny Chesney - Way Down Here.mp3,65,10.0,quality=65; size=10.0MB; not temp file; margin=1000,high
G0042,collision,2,"C:\Users\suppo\Downloads\New Music\Top1000\LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.mp3","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.mp3",65,11.2,quality=65; size=11.2MB; not temp file; margin=503,high
G0043,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\LUNIZ - I GOT 5 ON IT.mp3,LUNIZ - I GOT 5 ON IT.mp3,65,7.9,quality=65; size=7.9MB; not temp file; margin=1000,high
G0044,collision,3,C:\Users\suppo\Downloads\New Music\Top1000\Major Lazer - Cold Water.mp3,Major Lazer - Cold Water.mp3,65,6.0,quality=65; size=6.0MB; not temp file; margin=0,low
G0045,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Marshmello - Alone.mp3,Marshmello - Alone.mp3,60,6.3,quality=60; size=6.3MB; not temp file; margin=0,low
